Years,Births,Carrying Capacity,Deaths,Effect of Population Size on Births,Initial Carrying Capacity,Initial Max Crude Birth Rate,Initial Mortality Rate,Initial Population,Max Crude Birth Rate,Mortality Rate,Population,Population Fraction,IP1 Crude Birth Rate.ES,IP1 Crude Birth Rate.Intervention Point,IP1 Crude Birth Rate.SW,IP1 Crude Birth Rate.T1,IP2 Mortality Rate.ES,IP2 Mortality Rate.Intervention Point,IP2 Mortality Rate.SW,IP2 Mortality Rate.T1,IP3 Carrying Capacity.ES,IP3 Carrying Capacity.Intervention Point,IP3 Carrying Capacity.SW,IP3 Carrying Capacity.T1,IP4 Effect of Population Size on Births.ES,IP4 Effect of Population Size on Births.Intervention Point,IP4 Effect of Population Size on Births.SW,IP4 Effect of Population Size on Births.T1
94.7275390625,4.50547313608,120,4.49726093113,0.250456478064,80,0.2,0.05,120,0.2,0.05,89.9452226323,0.749543521936,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.728515625,4.50547233563,120,4.49726133208,0.250456411243,80,0.2,0.05,120,0.2,0.05,89.9452306508,0.749543588757,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7294921875,4.5054715353,120,4.49726173298,0.250456344432,80,0.2,0.05,120,0.2,0.05,89.9452386682,0.749543655568,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.73046875,4.50547073508,120,4.49726213382,0.25045627763,80,0.2,0.05,120,0.2,0.05,89.9452466844,0.74954372237,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7314453125,4.50546993498,120,4.4972625346,0.250456210838,80,0.2,0.05,120,0.2,0.05,89.9452546995,0.749543789162,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.732421875,4.505469135,120,4.49726293533,0.250456144056,80,0.2,0.05,120,0.2,0.05,89.9452627133,0.749543855944,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7333984375,4.50546833514,120,4.49726333599,0.250456077283,80,0.2,0.05,120,0.2,0.05,89.945270726,0.749543922717,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.734375,4.50546753539,120,4.49726373659,0.25045601052,80,0.2,0.05,120,0.2,0.05,89.9452787376,0.74954398948,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7353515625,4.50546673575,120,4.49726413714,0.250455943767,80,0.2,0.05,120,0.2,0.05,89.9452867479,0.749544056233,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.736328125,4.50546593624,120,4.49726453763,0.250455877024,80,0.2,0.05,120,0.2,0.05,89.9452947571,0.749544122976,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7373046875,4.50546513684,120,4.49726493806,0.250455810291,80,0.2,0.05,120,0.2,0.05,89.9453027651,0.749544189709,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.73828125,4.50546433756,120,4.49726533843,0.250455743567,80,0.2,0.05,120,0.2,0.05,89.9453107719,0.749544256433,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
